!EXCLAMATION-POINT ˌɛkskləˈmeɪʃənˌpɔɪnt
"CLOSE-QUOTE ˈkʰloʊzˈkʰwoʊt
"DOUBLE-QUOTE ˈdʌbəɫˈkʰwoʊt
"END-OF-QUOTE ˈɛndəvˈkʰwoʊt
"END-QUOTE ˈɛndˈkʰwoʊt
"IN-QUOTES ˈɪnˈkʰwoʊts
"QUOTE ˈkʰwoʊt
"UNQUOTE ˈʌnˈkʰwoʊt
#HASH-MARK ˈhæˌmɑɹk
#POUND-SIGN ˈpʰaʊndˌsaɪn
#SHARP-SIGN ˈʃɑɹpˌsaɪn
%PERCENT pɚˈsɛnt
&AMPERSAND ˈæmpɚˌsænd
'ALLO ˌɑˈloʊ
'APOSTROPHE əˈpʰɑstɹəfi
'BOUT ˈbaʊt
'CAUSE kʰəz
'COURSE ˈkʰoɹs
'CUSE ˈkʰjuz
'EM əm
'END-INNER-QUOTE ˈɛnˈdɪnɚˈkʰwoʊt
'END-QUOTE ˈɛndˈkʰwoʊt
'FRISCO ˈfɹɪskoʊ
'GAIN ˈgɛn
'INNER-QUOTE ˈɪnɚˈkʰwoʊt
'KAY ˈkʰeɪ
'M əm
'N ən
'QUOTE ˈkʰwoʊt
'ROUND ˈɹaʊnd
'S ˈɛs
'SINGLE-QUOTE ˈsɪŋgəɫˈkʰwoʊt
'TIL ˈtʰɪɫ
'TIS ˈtʰɪz
'TWAS ˈtʰwʌz
(BEGIN-PARENS bɪˈgɪnpɚˈɛnz
(IN-PARENTHESES ˈɪnpɚˈɛnθəˌsiz
(LEFT-PAREN ˈlɛftpɚˈɛn
(OPEN-PARENTHESES ˈoʊpənpɚˈɛnθəˌsiz
(PAREN pɚˈɛn
(PARENS pɚˈɛnz
(PARENTHESES pɚˈɛnθəˌsiz
)CLOSE-PAREN ˈkʰloʊzpɚˈɛn
)CLOSE-PARENTHESES ˈkʰloʊzpɚˈɛnθəˌsiz
)END-PAREN ˈɛndpɚˈɛn
)END-PARENS ˈɛndpɚˈɛnz
)END-PARENTHESES ˈɛndpɚˈɛnθəˌsiz
)END-THE-PAREN ˈɛndðəpɚˈɛn
)PAREN pɚˈɛn
)PARENS pɚˈɛnz
)RIGHT-PAREN ˈɹaɪtˌpɛɚən
)UN-PARENTHESES ˈʌnpɚˈɛnθəˈsiz
+PLUS ˈpʰlʊs
,COMMA ˈkʰɑmə
--DASH ˈdæʃ
-DASH ˈdæʃ
-HYPHEN ˈhaɪfən
...ELLIPSIS ˌɪˈlɪpsɪs
.DECIMAL ˈdɛsəməɫ
.DOT ˈdɑt
.FULL-STOP ˈfʊɫˈstɑp
.PERIOD ˈpʰiɚiəd
.POINT ˈpʰɔɪnt
/SLASH ˈslæʃ
3-D ˈθɹiˌdi
3D ˈθɹiˌdi
:COLON ˈkʰoʊlən
;SEMI-COLON ˈsɛmiˈkʰoʊlən, ˈsɛmɪˌkoʊlən
?QUESTION-MARK ˈkʰwɛsʧənˈmɑɹk
A ə, ˈeɪ
A'S ˈeɪz
A. ˈeɪ
A.'S ˈeɪz
A.S ˈeɪz
A42128 ˈeɪˈfoɹˈtʰuˈwʌnˈtʰuˈeɪt
AA ˌeɪˈeɪ
AAA ˌtɹɪpəˈleɪ
AABERG ˈɑbɚg
AACHEN ˈɑkən
AACHENER ˈɑkənɚ
AAH ˈɑ
AAKER ˈɑkɚ
AALIYAH ˌɑˈliˌɑ
AALSETH ˈɑɫsɛθ
AAMODT ˈɑmət
AANCOR ˈɑnˌkoɹ
AARDEMA ɑɹˈdɛmə
AARDVARK ˈɑɹdˌvɑɹk
AARDVARKS ˈɑɹdˌvɑɹks
AARGH ˈɑɹg
AARON ˈɛɚən
AARON'S ˈɛɚənz
AARONS ˈɛɚənz
AARONSON ˈɛɚənsən, ˈɑɹənsən
AARONSON'S ˈɛɚənsənz, ˈɑɹənsənz
AARTI ˈɑɹˌti
AASE ˈɑs
AASEN ˈɑsən
AB ˈæb
ABA ˌeɪˌbiˈeɪ
ABABA əˈbɑbə, ˈɑbəbə
ABACHA ˈæbəkə
ABACK əˈbæk
ABACO ˈæbəˌkoʊ
ABACUS ˈæbəkəs
ABAD əˈbɑd
ABADAKA əˈbædəkə
ABADI əˈbædi
ABADIE əˈbædi
ABAIR əˈbɛɚ
ABALKIN əˈbɑɫkɪn
ABALONE ˌæbəˈloʊni
ABALONES ˌæbəˈloʊniz
ABALOS ɑˈbɑloʊz
ABANDON əˈbændən
ABANDONED əˈbændənd
ABANDONING əˈbændənɪŋ
ABANDONMENT əˈbændənmənt
ABANDONMENTS əˈbændənmənts
ABANDONS əˈbændənz
ABANTO əˈbænoʊ
ABARCA əˈbɑɹkə
ABARE ɑˈbɑɹi
ABASCAL ˈæbəskəɫ
ABASH əˈbæʃ
ABASHED əˈbæʃt
ABASIA əˈbeɪʒjə
ABATE əˈbeɪt
ABATED əˈbeɪɾɪd
ABATEMENT əˈbeɪɾmənt
ABATEMENTS əˈbeɪɾmənts
ABATES əˈbeɪts
ABATING əˈbeɪɾɪŋ
ABBA ˈæbə
ABBADO əˈbɑdoʊ
ABBAS əˈbɑs
ABBASI ɑˈbɑsi
ABBATE ˈɑbeɪt
ABBATIELLO ɑbɑɾiˈɛloʊ
ABBE ˈæbi, æˈbeɪ
ABBENHAUS ˈæbənˌhaʊs
ABBETT əˈbɛt
ABBEVILLE ˈæbvɪɫ
ABBEY ˈæbi
ABBEY'S ˈæbiz
ABBIE ˈæbi
ABBITT ˈæbɪt
ABBOT ˈæbət
ABBOTSTOWN ˈæbətˈstaʊn
ABBOTT ˈæbət
ABBOTT'S ˈæbəts
ABBOTTSTOWN ˈæbətˈstaʊn
ABBOUD əˈbud, əˈbaʊd
ABBREVIATE əˈbɹiviˌeɪt
ABBREVIATED əˈbɹiviˌeɪɾɪd
ABBREVIATES əˈbɹiviˌeɪts
ABBREVIATING əˈbɹiviˌeɪɾɪŋ
ABBREVIATION əˌbɹiviˈeɪʃən
ABBREVIATIONS əˌbɹiviˈeɪʃənz
ABBRUZZESE ɑbɹutˈseɪzi
ABBS ˈæbz
ABBY ˈæbi
ABC ˈeɪˌbiˌsi
ABC'S ˈeɪˌbiˌsiz
